20250914	18:20:24	a1a56f6c-aff0-4e47-86ed-73fcc28e2cb5	GET	undefined	/auth
20250914	18:20:25	be33b502-a8eb-431e-879e-6b95a439bb95	GET	undefined	/auth
20250914	20:03:39	9d98f99f-9047-421c-b0b6-2f89e02b9c91	POST	undefined	/register
20250914	20:04:14	c448a398-3ca0-4f58-87f5-1424dd33f398	POST	undefined	/register
20250914	20:04:32	c8c3668c-d37d-44e5-b0d6-8eabc4d908c6	POST	undefined	/register
20250914	20:04:49	716cb7a0-7522-4a1d-b300-5aa6decc9f2a	POST	undefined	/register
20250914	20:35:29	35adb176-18fc-4f46-9502-0b7f6a399c0f	GET	undefined	/employees
20250914	20:35:36	ff90b307-0a1e-42c9-8668-176ba9d0e847	POST	undefined	/auth
20250914	20:35:44	66c2a1fe-d5d8-4b3f-9af9-cac121b2b89e	GET	undefined	/employees
20250914	20:35:49	a4b27d93-1d70-4d73-88bd-755fbc3da31c	POST	undefined	/employees
20250914	20:36:42	d1237aee-337a-4c2f-8df5-80bb2b535bf2	GET	undefined	/employees
20250914	20:36:45	f326eaee-6be0-4e54-a00f-893f37033bfb	GET	undefined	/employees
20250914	20:36:49	a8ff6576-8c82-4cdc-82ff-a977c34220d1	GET	undefined	/employees
20250914	20:37:03	dcd3d5f4-8809-418d-a4a2-0738b6eb19f3	POST	undefined	/auth
